,SettlementPoint,Mean,Min,Max,SD,Year,Month
270,HB_WEST,25.331694444444455,11.13,73.8,8.68839524121474,2017,06
271,HB_WEST,28.277027777777782,7.12,107.0,13.839546440320046,2018,06
272,HB_WEST,24.708555555555577,5.04,100.16,13.52178500335738,2019,06
273,HB_WEST,26.543561827957014,9.03,96.73,11.548332657215811,2016,07
274,HB_WEST,30.29364247311829,16.53,233.81,16.116670387293876,2017,07
275,HB_WEST,78.51755376344079,9.71,2066.82,233.86985552369822,2018,07
276,HB_WEST,29.455470430107532,11.03,274.78,26.90684361192509,2019,07
277,HB_WEST,29.786733870967733,13.26,224.54,25.37416828923725,2016,08
278,HB_WEST,26.817043010752666,16.63,86.37,10.236244257218413,2017,08
279,HB_WEST,31.560120967741923,10.83,150.33,18.630238668683326,2018,08
280,HB_WEST,126.31528225806449,8.11,3500.0,401.2889789739431,2019,08
281,HB_WEST,26.354250000000036,10.68,201.03,14.581646674594005,2016,09
282,HB_WEST,22.678819444444443,8.32,54.25,6.831218681457303,2017,09
283,HB_WEST,26.139597222222196,7.07,85.07,10.06953208802467,2018,09
284,HB_WEST,78.42925000000012,5.57,5010.39,380.61810476050834,2019,09
285,HB_WEST,24.113938172042996,1.58,273.75,15.80581918160384,2016,10
286,HB_WEST,21.693830645161306,1.84,70.17,8.016050770997207,2017,10
287,HB_WEST,28.76133064516124,2.39,95.58,10.31509220988028,2018,10
288,HB_WEST,24.668131720430107,-1.42,843.07,53.57664233513755,2019,10
289,HB_WEST,18.778416666666644,0.8,48.69,6.2965959405148775,2016,11
290,HB_WEST,21.00179166666666,-0.09,73.34,8.324036361486979,2017,11
291,HB_WEST,28.715250000000026,1.04,115.67,13.658234997523145,2018,11
292,HB_WEST,21.66026388888888,0.08,211.91,15.695236507495919,2019,11
293,HB_WEST,24.86266129032258,0.26,137.73,11.297255966368272,2016,12
294,HB_WEST,20.33803763440862,-2.28,53.28,6.117314012983186,2017,12
295,HB_WEST,29.9440053763441,0.0,119.86,11.728604670439227,2018,12
296,HB_WEST,18.136424731182792,2.15,60.71,7.188677044101669,2019,12
297,LZ_AEN,19.324663978494627,5.35,55.02,5.499657950454569,2016,01
298,LZ_AEN,23.40447580645163,1.92,95.99,7.539809858297446,2017,01
299,LZ_AEN,38.83798387096776,6.03,1661.37,87.54376856158724,2018,01
300,LZ_AEN,25.107956989247317,6.75,76.2,7.957236317830307,2019,01
301,LZ_AEN,15.448290229885073,2.24,51.51,5.742451493814364,2016,02
302,LZ_AEN,20.605327380952374,3.45,52.96,6.758118121814661,2017,02
303,LZ_AEN,21.913883928571398,4.55,74.11,7.665640874662351,2018,02
304,LZ_AEN,21.51380952380956,5.46,57.06,6.768265769861141,2019,02
305,LZ_AEN,16.855074024226113,1.32,65.27,7.360407832780968,2016,03
306,LZ_AEN,22.99701211305518,4.9,67.99,7.932145538218249,2017,03
307,LZ_AEN,22.202826379542397,5.26,70.37,8.593805694422064,2018,03
308,LZ_AEN,27.74218034993274,7.11,685.8,34.684874016437796,2019,03
309,LZ_AEN,18.25606944444444,1.17,88.34,9.345574036423606,2016,04
310,LZ_AEN,24.118083333333328,8.94,85.65,8.008669689884142,2017,04
311,LZ_AEN,22.18848611111112,4.79,51.24,7.5284459208469405,2018,04
312,LZ_AEN,23.270347222222245,4.63,106.86,12.494342464514746,2019,04
313,LZ_AEN,18.12490591397849,2.8,76.57,7.977659806006315,2016,05
314,LZ_AEN,25.293844086021508,4.9,66.94,8.173940241146443,2017,05
315,LZ_AEN,33.166169354838736,6.86,529.23,36.91196660038251,2018,05
316,LZ_AEN,24.676236559139774,9.12,68.42,8.730179494173765,2019,05
317,LZ_AEN,24.2375138888889,8.23,110.8,11.583286461242357,2016,06
318,LZ_AEN,27.91663888888888,15.47,84.47,11.335981832091646,2017,06
319,LZ_AEN,30.28612499999999,15.91,114.74,14.40942828460662,2018,06
320,LZ_AEN,24.416791666666676,10.2,101.71,12.944277307181554,2019,06
321,LZ_AEN,27.976102150537606,9.29,98.6,12.613121790972757,2016,07
322,LZ_AEN,31.40143817204301,16.95,257.95,17.939957768598738,2017,07
323,LZ_AEN,78.95137096774195,10.02,2060.9,233.09134385258966,2018,07
324,LZ_AEN,29.709086021505378,11.37,274.59,26.803671565521057,2019,07
325,LZ_AEN,30.699516129032325,13.61,235.36,26.82729886707015,2016,08
326,LZ_AEN,27.465618279569895,16.63,88.71,10.953641559437648,2017,08
327,LZ_AEN,31.732137096774153,13.9,149.54,18.45947088295388,2018,08
328,LZ_AEN,126.52692204301066,10.34,3500.89,401.4603431233801,2019,08
329,LZ_AEN,26.710861111111146,11.13,200.12,14.465315413858335,2016,09
330,LZ_AEN,24.628805555555562,8.82,60.58,8.027509687575206,2017,09
331,LZ_AEN,27.16730555555553,15.15,88.03,10.290747790482115,2018,09
332,LZ_AEN,80.16959722222228,7.88,5010.17,380.27675207770636,2019,09
333,LZ_AEN,25.622903225806493,3.29,274.56,16.09970957367572,2016,10
334,LZ_AEN,24.01990591397848,5.24,102.26,10.015021859408657,2017,10
335,LZ_AEN,30.310000000000006,12.77,96.35,10.204651355469013,2018,10
336,LZ_AEN,29.280443548387094,8.07,844.89,52.951009092061675,2019,10
